Chargement des bibliothèques.
Chargement terminé.
#n bat sol cpu
8 8 8 0.199008424
3 4 4 7.3529e-5
10 10 14 0.034572941
2 2 2 3.8861e-5
5 8 8 0.000187598
6 8 8 0.000257038
6 6 10 0.001156238
1 1 0 6.201e-6
3 4 4 6.1631e-5
9 14 14 0.004493267
6 72 8 0.000327467
2 72 2 1.6556e-5
2 72 2 1.5841e-5
2 72 2 1.51e-5
9 72 10 0.002207218
5 72 8 0.000101779
2 72 2 1.9428e-5
3 72 4 4.505e-5
3 72 4 4.1108e-5
5 72 8 0.000126537
9 8 22 1.696050766
13 10 24 99.461142594
